12:43:28 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 137.97.90.46, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36 ) => {inserted_id = 11148}
12:43:28 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
12:43:28 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-05-26 12:43:28) on conditions username = dodo001
12:43:28 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2020-05-26 12:43:28) on conditions username = dodo001 AND company_id = 6
12:43:30 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (dodo001) on conditions session_id = 47c109a87c7bae2fef38b4a3f3f39f4d
13:45:19 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 117.222.164.226, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36 ) => {inserted_id = 11149}
13:45:19 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
13:45:19 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-05-26 13:45:19) on conditions username = dodo001
13:45:19 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2020-05-26 13:45:19) on conditions username = dodo001 AND company_id = 6
13:45:20 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (dodo001) on conditions session_id = edbc41673f88daa0025c3d1a5bfc64d5
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-20, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18046}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-21, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18047}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-22, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18048}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-23, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18049}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-24, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18050}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-25, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18051}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-26, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18052}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-27, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18053}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-28, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18054}
13:47:40 dodo001 Admin Cirrus INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, tejo002, 1, 0, 2020-02-29, 10.15, 15, 1, , dodo001,  ) => {inserted_id = 18055}
