10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-09, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18631}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-09, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18632}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-10, 6, 13, 1, , gine001,  ) => {inserted_id = 18633}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-11, 6, 13, 1, , gine001,  ) => {inserted_id = 18634}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-12, 6, 13, 1, , gine001,  ) => {inserted_id = 18635}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-13, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18636}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-13, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18637}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-14, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18638}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-14, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18639}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-15, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18640}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-15, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18641}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-16, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18642}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-16, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18643}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-17, 6, 13, 1, , gine001,  ) => {inserted_id = 18644}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-18, 6, 13, 1, , gine001,  ) => {inserted_id = 18645}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-19, 6, 13, 1, , gine001,  ) => {inserted_id = 18646}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-20, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18647}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-20, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18648}
