08:10:45 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 79.102.9.25, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.0) Gecko/20100101 Firefox/52.0 ) => {inserted_id = 6147}
08:10:45 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
08:10:45 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2017-12-06 08:10:45) on conditions username = gine001
08:10:45 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2017-12-06 08:10:45) on conditions username = gine001 AND company_id = 6
08:11:17 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 8e737d37327274b21fb41511dbab34d9
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-24, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12453}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-25, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12454}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-26, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12455}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-26, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12456}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-27, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12457}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-27, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12458}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-28, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12459}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-29, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12460}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-30, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12461}
08:12:11 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-12-01, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12462}
